mode,axis,n_samples,mean,mae,rmse,maxabs,std
raw,x,32000,-0.3024979620552568,0.30260601133604415,0.32268406924163384,0.7430407660318662,0.11233873550452643
corr,x,32000,-1.5797918528903665e-15,0.06938321649843095,0.08694914973238747,0.45051676139442987,0.08694914973238747
raw,y,32000,0.20108880305900295,0.20962289637939102,0.23921638478369425,0.6694478811567102,0.12956763497601548
corr,y,32000,-1.5767387395726473e-15,0.06936641760241663,0.0868104531776934,0.36077804197597413,0.0868104531776934
raw,z,32000,0.10288859060103117,0.1584421495905119,0.19917694025322588,0.6774987712111002,0.17054439730689047
corr,z,32000,-5.668798763736049e-16,0.06666528213921888,0.0836891936689172,0.3793496459653021,0.0836891936689172
