mode,axis,mean,mae,rmse,maxabs,std
raw,x,-0.30249796205525514,0.30249796205525514,0.3105061010724443,0.4010000790577717,0.07006441147707158
corr,x,-2.1819568721270777e-17,0.0007835488263802072,0.0009870063315886367,0.0018969826845669502,0.0009870063315886367
raw,y,0.20108880305900442,0.20108880305900442,0.22363476061451834,0.3932132787238185,0.09785601381320347
corr,y,9.410874857174178e-17,0.004270301501320121,0.00528901189593013,0.011128420963569393,0.005289011895930131
raw,z,0.102888590601032,0.15069476688383193,0.179644268109019,0.3970477429062811,0.14726167521985592
corr,z,3.327416467358013e-16,0.00382288377286058,0.005381424424240882,0.008170309363611024,0.005381424424240882
